fold,model,accuracy,precision,recall,f1,roc_auc
1,RandomForest,0.5416666666666666,0.53125,0.918918918918919,0.6732673267326733,0.5544401544401545
1,XGBoost,0.5416666666666666,0.53125,0.918918918918919,0.6732673267326733,0.5575289575289575
2,RandomForest,0.5555555555555556,0.5625,0.5,0.5294117647058824,0.5478395061728396
2,XGBoost,0.5277777777777778,0.5178571428571429,0.8055555555555556,0.6304347826086957,0.6064814814814815
3,RandomForest,0.5555555555555556,0.5625,0.7105263157894737,0.627906976744186,0.601780185758514
3,XGBoost,0.5277777777777778,0.5454545454545454,0.631578947368421,0.5853658536585366,0.5917182662538699
4,RandomForest,0.3888888888888889,0.42857142857142855,0.06976744186046512,0.12,0.4274258219727346
4,XGBoost,0.4166666666666667,1.0,0.023255813953488372,0.045454545454545456,0.42662389735364875
5,RandomForest,0.5277777777777778,0.6,0.08571428571428572,0.15,0.44942084942084937
5,XGBoost,0.4861111111111111,0.42857142857142855,0.17142857142857143,0.24489795918367346,0.48764478764478764
