source,headline,pubdate,headline_length,Date,Open,High,Low,Close,Volume,is_trading_day,sentiment,sentiment_confidence
NVIDIA Newsroom,NVIDIA and CoreWeave Strengthen Collaboration to Accelerate Buildout of AI Factories - NVIDIA Newsroom,2026-01-26,102,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,positive,0.8124496340751648
NVIDIA Newsroom,"NVIDIA Kicks Off the Next Generation of AI With Rubin — Six New Chips, One Incredible AI Supercomputer - NVIDIA Newsroom",2026-01-05,120,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8458371758460999
NVIDIA,NVIDIA App Update Adds DLSS 4.5 Super Resolution & New GeForce Game Ready Driver - NVIDIA,2026-01-05,89,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8426470756530762
NVIDIA Newsroom,NVIDIA Releases New Physical AI Models as Global Partners Unveil Next-Generation Robots - NVIDIA Newsroom,2026-01-05,105,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8666422367095947
NVIDIA Blog,"NVIDIA Rubin Platform, Open Models, Autonomous Driving: NVIDIA Presents Blueprint for the Future at CES - NVIDIA Blog",2026-01-05,117,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8252706527709961
NVIDIA Newsroom,Siemens and NVIDIA Expand Partnership to Build the Industrial AI Operating System - NVIDIA Newsroom,2026-01-06,99,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,positive,0.7700575590133667
NVIDIA Blog,NVIDIA Launches Earth-2 Family of Open Models — the World’s First Fully Open Set of Models and Tools for AI Weather - NVIDIA Blog,2026-01-26,129,2026-01-26,187.16000366210932,189.1199951171875,185.9900054931641,186.47000122070312,124799600.0,True,neutral,0.5721796751022339
NVIDIA Developer,"Inside the NVIDIA Rubin Platform: Six New Chips, One AI Supercomputer | NVIDIA Technical Blog - NVIDIA Developer",2026-01-05,112,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.9127539992332458
NVIDIA,NVIDIA DLSS 4.5 Delivers Major Upgrade With 2nd Gen Transformer Model For Super Resolution & 6X Dynamic Multi Frame Generation - NVIDIA,2026-01-06,135,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,positive,0.9451245665550232
NVIDIA Newsroom,NVIDIA BioNeMo Platform Adopted by Life Sciences Leaders to Accelerate AI-Driven Drug Discovery - NVIDIA Newsroom,2026-01-12,113,2026-01-12,183.22000122070312,187.1199951171875,183.0200042724609,184.94000244140625,137968500.0,True,neutral,0.6750291585922241
NVIDIA Blog,NVIDIA Brings GeForce RTX Gaming to More Devices With New GeForce NOW Apps for Linux PC and Amazon Fire TV - NVIDIA Blog,2026-01-05,120,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.542151927947998
NVIDIA Blog,NVIDIA DGX SuperPOD Sets the Stage for Rubin-Based Systems - NVIDIA Blog,2026-01-05,72,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.8014810085296631
NVIDIA Newsroom,"NVIDIA Announces Alpamayo Family of Open-Source AI Models and Tools to Accelerate Safe, Reasoning-Based Autonomous Vehicle Development - NVIDIA Newsroom",2026-01-05,152,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.6608182787895203
NVIDIA Blog,"Steel, Sensors and Silicon: How Caterpillar Is Bringing Edge AI to the Jobsite - NVIDIA Blog",2026-01-07,92,2026-01-07,188.57000732421875,191.3699951171875,186.5599975585937,189.1100006103516,153543200.0,True,neutral,0.8704358339309692
NVIDIA Blog,CEOs of NVIDIA and Lilly Share ‘Blueprint for What Is Possible’ in AI and Drug Discovery - NVIDIA Blog,2026-01-13,102,2026-01-13,185.0,188.1100006103516,183.3999938964844,185.8099975585937,160128900.0,True,neutral,0.8315169215202332
NVIDIA Blog,NVIDIA RTX Accelerates 4K AI Video Generation on PC With LTX-2 and ComfyUI Upgrades - NVIDIA Blog,2026-01-05,97,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,positive,0.9062146544456482
NVIDIA Newsroom,NVIDIA BlueField-4 Powers New Class of AI-Native Storage Infrastructure for the Next Frontier of AI - NVIDIA Newsroom,2026-01-05,117,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.7659016251564026
NVIDIA Blog,"NVIDIA DLSS 4.5, Path Tracing and G-SYNC Pulsar Supercharge Gameplay With Enhanced Performance and Visuals - NVIDIA Blog",2026-01-05,120,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.7167125940322876
NVIDIA Blog,GeForce NOW Rings In 2026 With 14 New Games in January - NVIDIA Blog,2026-01-01,68,,,,,,,False,neutral,0.8844103217124939
NVIDIA Blog,NVIDIA Expands Global DRIVE Hyperion Ecosystem to Accelerate the Road to Full Autonomy - NVIDIA Blog,2026-01-05,100,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,positive,0.8787891268730164
NVIDIA Blog,NVIDIA DRIVE AV Software Debuts in All-New Mercedes-Benz CLA - NVIDIA Blog,2026-01-05,74,2026-01-05,191.759994506836,193.6300048828125,186.1499938964844,188.1199951171875,183529700.0,True,neutral,0.7260212302207947
NVIDIA Developer,Introducing NVIDIA BlueField-4-Powered Inference Context Memory Storage Platform for the Next Frontier of AI - NVIDIA Developer,2026-01-06,127,2026-01-06,190.5200042724609,192.1699981689453,186.82000732421875,187.2400054931641,176862600.0,True,neutral,0.7622529864311218
Business Insider,"I quit Nvidia before my stock blew up, but Jensen Huang taught me career lessons I still follow today - Business Insider",2026-01-20,120,2026-01-20,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300.0,True,neutral,0.907009482383728
